learning_rate,batch_size,epochs_trained,training_time,final_train_loss,final_train_acc,final_val_loss,final_val_acc,val_accuracy,f1_score,precision,recall,test_accuracy,test_f1
0.001,64,23,4132.542324304581,0.7412809729576111,0.72265625,1.3603129386901855,0.578499972820282,0.5961250066757202,0.5867978138138423,0.5984514704165385,0.596125,0.5061249732971191,0.5026627201795184
0.0005,64,30,5352.705862283707,0.8289898037910461,0.6884843707084656,1.4003666639328003,0.5561249852180481,0.5561249852180481,0.5420029165740818,0.5760987098135761,0.556125,0.4672499895095825,0.4640763466055038
0.0005,256,6,1045.334484577179,0.9437520503997803,0.646859347820282,4.967898368835449,0.132874995470047,0.47487500309944153,0.46202985348930004,0.537379472684206,0.474875,0.4257499873638153,0.42154440153089867
0.0001,64,8,1461.2310001850128,1.2365186214447021,0.5413125157356262,2.059149980545044,0.37575000524520874,0.4013749957084656,0.382360915509697,0.4243792924038352,0.40137500000000004,0.39387500286102295,0.371752942289173
0.0001,128,9,1607.2983162403107,1.083997368812561,0.595828115940094,2.2213857173919678,0.33550000190734863,0.3736250102519989,0.36977128434362205,0.4472433507376371,0.373625,0.35475000739097595,0.34942031198407275
0.0005,128,6,1054.8668735027313,0.9110000729560852,0.6585468649864197,2.4999771118164062,0.265749990940094,0.3648749887943268,0.3379251120269231,0.5091297954488452,0.36487500000000006,0.3321250081062317,0.3164082010165744
0.0001,256,6,1141.0313007831573,1.158296823501587,0.5680312514305115,2.560044288635254,0.17937499284744263,0.34049999713897705,0.30253984081423735,0.4357440347328848,0.3405,0.3199999928474426,0.28165802163799103
0.001,128,6,1088.387639760971,0.9239253401756287,0.653921902179718,7.033537864685059,0.13224999606609344,0.29899999499320984,0.2572360708646307,0.49235036488207673,0.299,0.2565000057220459,0.21228186599481705
0.001,256,6,1071.034291267395,1.0638446807861328,0.6010781526565552,9.665131568908691,0.125,0.20887500047683716,0.12322402394188442,0.24488522516088132,0.208875,0.17737500369548798,0.10224745879241964
